User Login: Andrei Popescu,2026-05-13 15:38:21
User Logout,2026-05-13 15:38:47
User Login: Andrei Popescu,2026-05-13 15:38:50
User Logout,2026-05-13 15:38:55
User Login: addf,2026-05-13 15:39:08
User Logout,2026-05-13 15:39:16
User Login: Andrei Popescu,2026-05-13 15:41:03
User Logout,2026-05-13 15:41:06
User Login: Maria Ionescu,2026-05-13 15:41:13
User Logout,2026-05-13 15:41:15
User Login: Andrei Popescu,2026-05-13 15:41:24
User Logout,2026-05-13 15:41:27
User Logout,2026-05-13 15:44:30
Registered Staff: Marcel (Chelner),2026-05-13 15:47:29
User Logout,2026-05-13 15:47:30
User Logout,2026-05-13 15:47:35
User Logout,2026-05-13 15:49:19
Added Product: Apa to Table 2,2026-05-13 15:49:41
Added Product: Apă minerală 500ml to Table 2,2026-05-13 15:49:42
Added Product: Apă minerală 500ml to Table 2,2026-05-13 15:49:43
Cleared Order: Table 2,2026-05-13 15:49:47
